subject,relation,prompt,ablate_position,ablate_token,seq_len,band,condition,replicate,clean_top1,clean_top1_logp,abl_top1,abl_top1_logp,clean_top1_logp_under_abl,delta_logp_clean_top1,rank_of_clean_top1_under_abl,kl_clean_vs_abl,top1_changed,clean_top1_str,abl_top1_str
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,9-13,jspace,0,2036,-1.2710586786270142,2036,-1.5964115858078003,-1.5964115858078003,-0.32535290718078613,1,0.5130138993263245,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,9-13,random,0,2036,-1.2710586786270142,2036,-1.0350250005722046,-1.0350250005722046,0.23603367805480957,1,0.026152407750487328,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,9-13,random,1,2036,-1.2710586786270142,2036,-1.2271544933319092,-1.2271544933319092,0.04390418529510498,1,0.007327919360250235,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,9-17,jspace,0,2036,-1.2710586786270142,2036,-1.3826069831848145,-1.3826069831848145,-0.11154830455780029,1,0.4750286936759949,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,9-17,random,0,2036,-1.2710586786270142,2036,-0.9937489628791809,-0.9937489628791809,0.27730971574783325,1,0.11544103920459747,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,9-17,random,1,2036,-1.2710586786270142,2036,-1.2048145532608032,-1.2048145532608032,0.06624412536621094,1,0.10618339478969574,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,6-20,jspace,0,2036,-1.2710586786270142,2036,-1.574511170387268,-1.574511170387268,-0.3034524917602539,1,0.8234488368034363,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,6-20,random,0,2036,-1.2710586786270142,2036,-1.8478691577911377,-1.8478691577911377,-0.5768104791641235,1,0.27647194266319275,0, New, New
Miles Davis,birth_city,Miles Davis was born in the city of,2, Davis,9,6-20,random,1,2036,-1.2710586786270142,2036,-1.5925507545471191,-1.5925507545471191,-0.321492075920105,1,0.16435924172401428,0, New, New
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,9-13,jspace,0,220,-0.47782766819000244,220,-0.46417105197906494,-0.46417105197906494,0.0136566162109375,1,0.0022174811456352472,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,9-13,random,0,220,-0.47782766819000244,220,-0.48615917563438416,-0.48615917563438416,-0.008331507444381714,1,0.00038157153176143765,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,9-13,random,1,220,-0.47782766819000244,220,-0.4858383238315582,-0.4858383238315582,-0.008010655641555786,1,0.00028483563801273704,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,9-17,jspace,0,220,-0.47782766819000244,220,-0.4439263641834259,-0.4439263641834259,0.03390130400657654,1,0.005554205738008022,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,9-17,random,0,220,-0.47782766819000244,220,-0.47244125604629517,-0.47244125604629517,0.005386412143707275,1,0.0023216530680656433,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,9-17,random,1,220,-0.47782766819000244,220,-0.47977080941200256,-0.47977080941200256,-0.001943141222000122,1,0.00030206015799194574,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,6-20,jspace,0,220,-0.47782766819000244,220,-0.5234943628311157,-0.5234943628311157,-0.04566669464111328,1,0.018577948212623596,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,6-20,random,0,220,-0.47782766819000244,220,-0.458751380443573,-0.458751380443573,0.019076287746429443,1,0.003301091957837343,0, , 
Miles Davis,birth_year,Miles Davis was born in the year,2, Davis,8,6-20,random,1,220,-0.47782766819000244,220,-0.4344944357872009,-0.4344944357872009,0.043333232402801514,1,0.003857982810586691,0, , 
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,9-13,jspace,0,290,-0.9284564852714539,290,-1.067193627357483,-1.067193627357483,-0.13873714208602905,1,0.025474432855844498,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,9-13,random,0,290,-0.9284564852714539,290,-0.945271372795105,-0.945271372795105,-0.016814887523651123,1,0.00550278602167964,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,9-13,random,1,290,-0.9284564852714539,290,-0.8706948757171631,-0.8706948757171631,0.05776160955429077,1,0.005309466738253832,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,9-17,jspace,0,290,-0.9284564852714539,290,-1.0660107135772705,-1.0660107135772705,-0.13755422830581665,1,0.03546377271413803,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,9-17,random,0,290,-0.9284564852714539,290,-0.9265892505645752,-0.9265892505645752,0.0018672347068786621,1,0.007946688681840897,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,9-17,random,1,290,-0.9284564852714539,290,-0.8779783844947815,-0.8779783844947815,0.05047810077667236,1,0.008900436572730541,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,6-20,jspace,0,290,-0.9284564852714539,290,-1.0584717988967896,-1.0584717988967896,-0.1300153136253357,1,0.14889094233512878,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,6-20,random,0,290,-0.9284564852714539,290,-1.016887903213501,-1.016887903213501,-0.08843141794204712,1,0.01873151585459709,0, the, the
Miles Davis,birth_country,Miles Davis was born in the country of,2, Davis,9,6-20,random,1,290,-0.9284564852714539,290,-0.9819159507751465,-0.9819159507751465,-0.05345946550369263,1,0.01642603799700737,0, the, the
