subject,relation,prompt,position_mode,ablated_positions,band,condition,replicate,greedy_span,content_token,content_index,span_logp_clean,span_logp_cond,delta_span_logp,content_logp_clean,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,jspace,0," New York, in", New,0,-4.693,-5.0626,-0.3696,-1.2711,-1.5964,-0.3254,1,0, New,0.513
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,jspace_word,0," New York, in", New,0,-4.693,-5.4381,-0.7451,-1.2711,-2.0025,-0.7315,1,0, New,0.412
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,random,0," New York, in", New,0,-4.693,-4.4518,0.2412,-1.2711,-1.035,0.236,1,0, New,0.0262
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,random,1," New York, in", New,0,-4.693,-4.6839,0.0091,-1.2711,-1.2272,0.0439,1,0, New,0.0073
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,mean,0," New York, in", New,0,-4.693,-6.2557,-1.5627,-1.2711,-2.5841,-1.3131,1,0, New,1.0745
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,answer_lens,0," New York, in", New,0,-4.693,-4.4865,0.2065,-1.2711,-1.0589,0.2122,1,0, New,0.0456
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,jspace,0," New York, in", New,0,-4.693,-4.8026,-0.1096,-1.2711,-1.3826,-0.1115,1,0, New,0.475
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,jspace_word,0," New York, in", New,0,-4.693,-5.0464,-0.3534,-1.2711,-1.5517,-0.2807,1,0, New,0.568
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,random,0," New York, in", New,0,-4.693,-4.3776,0.3154,-1.2711,-0.9937,0.2773,1,0, New,0.1154
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,random,1," New York, in", New,0,-4.693,-4.605,0.088,-1.2711,-1.2048,0.0662,1,0, New,0.1062
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,mean,0," New York, in", New,0,-4.693,-6.3618,-1.6688,-1.2711,-2.5951,-1.324,1,0, New,1.0467
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,answer_lens,0," New York, in", New,0,-4.693,-4.5297,0.1633,-1.2711,-1.1251,0.146,1,0, New,0.0326
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,6-20,jspace,0," New York, in", New,0,-4.693,-5.1846,-0.4916,-1.2711,-1.5745,-0.3035,1,0, New,0.8234
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,6-20,jspace_word,0," New York, in", New,0,-4.693,-4.9843,-0.2913,-1.2711,-1.5462,-0.2752,1,0, New,0.7288
