id,document_index,sense,variant,valid,svd_axis,row_own,row_main,lens_logit_own,context_marked
0,2,month,May,1,-6.6544,16.0198,16.1379,2.6722,"Business Immersion for the Health Sciences ⟦May⟧ 17-27, 2021 Virtual Online Bootcamp Business Immersion for the Health Sciences is an elective course that brings students from the Texas A&M Health Science Center’s colleges of medicine"
1,6,month, May,1,-28.5325,11.9224,10.2159,3.3871,". Top with a scoop of frozen yogurt and reserved cake cutouts. Drizzle with raspberry mixture. Serve immediately. Yield: 10 servings. Originally published as Angel Peach Melba in Simple & Delicious⟦ May⟧/June 2006, p25 Reviews for Angel Peach Melba Please Log In or Join to add a rating and review. Click stars to rate Any changes to your rating or review"
2,9,epistemic, may,1,-41.1664,16.4130,16.4130,0.7177," your Bluetooth speaker (and if you don’t already have a Bluetooth speaker, for goodness sakes buy one immediately, you fool) and dance your way through your hot, sudsy shower! (You⟦ may⟧ even burn a few calories grooving!) Happy Wednesday, friends! What are your favorite jams to kick off the morning to?"
3,11,epistemic, may,1,-27.5058,8.1011,8.1011,3.3446," email newsletters here. Get breaking news delivered right to your phone -- just text NYBREAKING to 639710. For more info, text HELP. To end, text STOP. Message and data rates⟦ may⟧ apply. Published at 5:07 PM EDT on Jun 17, 2012 Copyright Associated Press"
4,12,month, May,1,-2.1931,0.6424,0.8686,0.9403,"ugs policy up in smoke While Mark Lewis-Francis has lost a silver medal after traces of cannabis were found in his urine, blatant cheating over samples is left unpunished Published: 15⟦ May⟧ 2005 SOMETIMES you’ve got to laugh at the lengths to which sportsmen go to plead their innocence. Yes, we are talking drugs again — and before you turn away,"
5,14,deontic, may,1,-19.2202,-0.5569,-0.5569,-1.7994," two, next time we'll go to at least four, probably six. How to play: Split the players into teams. Set acting boundaries (we used the key of our gym basketball court). The actor⟦ may⟧ move freely within these boundaries (for dodging purposes). Set player boundaries (our teams were split around the three-point circle). The first ""actor"" from each team gets to Rock-Paper-Sc"
6,19,other, May,1,30.9369,3.9053,7.8218,-1.7242,"’s the fact that you have to stop and charge attacks to use them. This breaks up the flow of combat considerably. So rather than having the game move fluidly in and out of combat like Devil⟦ May⟧ Cry 2, the game ends up feeling like a chore because it feels like each action is done separately. The camera also is a rather annoying part of the game as most cameras in action games are"
7,23,epistemic, may,1,-3.9737,8.1674,8.1674,0.4666,"ation of d-amphetamine-induced disruption of conditional discrimination performance by alpha-flupenthixol MetadataShow full item record Rationale Previous evidence suggests that manipulation of forebrain dopamine (DA) systems⟦ may⟧ impair the use of conditional information to inform goal-directed performance, and this may be related to impairments in the ability to use task-setting cues in schizophrenia. Objective To investigate, using the indirect DA agon"
8,23,epistemic, may,1,-33.7683,9.6476,9.6476,2.3967,"enthixol MetadataShow full item record Rationale Previous evidence suggests that manipulation of forebrain dopamine (DA) systems may impair the use of conditional information to inform goal-directed performance, and this⟦ may⟧ be related to impairments in the ability to use task-setting cues in schizophrenia. Objective To investigate, using the indirect DA agonist d-amphetamine and the D1/D2 receptor antagonist α-flup"
9,29,epistemic, may,1,13.3195,13.7531,13.7531,4.7311," of helping Karen Lee transition from this life to the next. And I thank you all for being so supportive of me during this time. Karen Lee was 55 years old when she died. As you⟦ may⟧ know, for the last ten years of her challenging life, Karen Lee was homeless. However because of your care, Karen Lee lived the last 24 days of her life free of pain and indoors. "
10,29,optative,May,1,37.0549,-8.5375,2.3073,-0.7302,"Do you love me as much as I love you?” Witnessing your many kindnesses and genuine compassion, I can answer her question, Yes, you each loved her as much as she loved you. ⟦May⟧ God bless you for your compassionate service for people in need. It is an age old question: What is the significance of life if all we do is die in the end? Is there a deeper meaning"
11,41,month, May,1,-3.3140,18.1126,17.5724,3.8848,"On Wednesday,⟦ May⟧ 10, GABA – the German American Business Association – organise an event on how additive manufacturing and smart manufacturing are revolutionising the world. 3D Printing – or Additive Manufacturing – and Smart Manufacturing"
12,41,epistemic, may,1,-5.7425,13.9100,13.9100,0.6965," products, generating new revenue streams. Additive Manufacturing is also upending conventional wisdom on the supply side. Rather than mass produce, store and ship a tangible product, ‘manufacturers’ of the future⟦ may⟧ develop designs, technology, and knowhow that enable their customers to make customized products onsite, in real time, as needed. DWF Law is main sponsor of this 3D printing event that will"
13,43,epistemic, may,1,-30.0978,7.8874,7.8874,3.0127," 8 p.m.) Steve Summerhill at Jethro’s, Altoona (starts 7 p.m.) Born & the Beanstalk at Belmar Hotel, Altoona (More shows⟦ may⟧ be added to this list as information becomes available. Feel free to check back.) To report additional shows or corrections to this listing, email information to email@example.com. NailDriver, performing during the"
14,47,epistemic, may,1,-23.1365,14.2881,14.2881,1.4722,", was a lot of hype and dashed expectations for some. Fast forward five years, and the future foreshadowed by SOA is almost a reality. And while SOA (the acronym)⟦ may⟧ be dead, the need for a service-oriented architecture is very much alive. We now live in a hybrid world, populated by cloud, social and on-premise applications, and the move to the cloud"
15,48,epistemic, may,1,-19.4544,5.9791,5.9791,2.4438,". The idea for Stickbulb came from a bunch of wasted sticks that were lying in the corner of a woodshop. And that moment of inception is sort of that DNA of taking something which otherwise⟦ may⟧ not be used or go in the trash, or returned, is sort of fundamental to the process here. It’s wood that isn’t being harvested today. So it’s the kind of wood that you"
16,49,epistemic, may,1,-15.0526,5.5858,5.5858,-0.5776," to be a greeter at Walmart. That mindset explains why so many blue-collar craftsmen, sometimes making six-figure incomes, have trouble finding young people who want to become apprentices. But Sandel⟦ may⟧ have spent too much time among Harvard students and too little time around young people who don’t aspire to a law partnership or a job at Goldman Sachs. Many of them have found something they enjoy doing and"
17,49,epistemic, may,1,-27.2626,15.4334,15.4334,2.2873," to 29 who think college is very important (down 33% from 2013 to 2019) suggests that young people with I.Q.s that are closer to 130 than 90⟦ may⟧ also be taking a closer look at options that don’t put them behind a desk or in front of a computer screen. Regarding the hubris of the elites, I agree with Sandel if he is"
18,56,epistemic, may,1,-28.9149,13.3304,13.3304,3.8947," rationalise market rates and give a boost to the slunbering real estate market,"" he added. However, Surender Yadav, managing director of Pivotal developers, said that the farmers⟦ may⟧ not be happy with the move as they get compensation for their agricultural land on the basis of circle rates. Real estate consultants are also upbeat about the cut in circle rates. City-based consultant Sarvesh"
19,56,epistemic, may,1,8.2211,18.4267,18.4267,3.7920," inventories."" Director of UdayHomz, Gaurav Yadav, another real estate consultant, said the decrease in circle rate will primarily help investors in the secondary market to exit easily and in turn⟦ may⟧ encourage them to make more investment in primary market. For buyers also, it is a good move as now they will have to pay less stamp duty. Mohan Singh Tada, who is looking for"
