id,document_index,sense,variant,valid,svd_axis,row_own,row_main,lens_logit_own,context_marked
0,2,month,May,1,40.5845,-7.3017,2.8936,-2.3888,"Business Immersion for the Health Sciences ⟦May⟧ 17-27, 2021 Virtual Online Bootcamp Business Immersion for the Health Sciences is an elective course that brings students from the Texas A&M Health Science Center’s colleges of medicine"
1,6,month, May,1,35.6948,14.2417,11.7048,4.1772,". Top with a scoop of frozen yogurt and reserved cake cutouts. Drizzle with raspberry mixture. Serve immediately. Yield: 10 servings. Originally published as Angel Peach Melba in Simple & Delicious⟦ May⟧/June 2006, p25 Reviews for Angel Peach Melba Please Log In or Join to add a rating and review. Click stars to rate Any changes to your rating or review"
2,9,epistemic, may,1,62.2150,6.6866,6.6866,1.2426," your Bluetooth speaker (and if you don’t already have a Bluetooth speaker, for goodness sakes buy one immediately, you fool) and dance your way through your hot, sudsy shower! (You⟦ may⟧ even burn a few calories grooving!) Happy Wednesday, friends! What are your favorite jams to kick off the morning to?"
3,11,epistemic, may,1,61.5063,6.5264,6.5264,2.0870," email newsletters here. Get breaking news delivered right to your phone -- just text NYBREAKING to 639710. For more info, text HELP. To end, text STOP. Message and data rates⟦ may⟧ apply. Published at 5:07 PM EDT on Jun 17, 2012 Copyright Associated Press"
4,12,month, May,1,28.7759,11.1122,9.0042,3.7055,"ugs policy up in smoke While Mark Lewis-Francis has lost a silver medal after traces of cannabis were found in his urine, blatant cheating over samples is left unpunished Published: 15⟦ May⟧ 2005 SOMETIMES you’ve got to laugh at the lengths to which sportsmen go to plead their innocence. Yes, we are talking drugs again — and before you turn away,"
5,14,deontic, may,1,42.4371,3.0058,3.0058,0.5298," two, next time we'll go to at least four, probably six. How to play: Split the players into teams. Set acting boundaries (we used the key of our gym basketball court). The actor⟦ may⟧ move freely within these boundaries (for dodging purposes). Set player boundaries (our teams were split around the three-point circle). The first ""actor"" from each team gets to Rock-Paper-Sc"
6,19,other, May,1,34.6376,-1.5868,1.5726,-2.8139,"’s the fact that you have to stop and charge attacks to use them. This breaks up the flow of combat considerably. So rather than having the game move fluidly in and out of combat like Devil⟦ May⟧ Cry 2, the game ends up feeling like a chore because it feels like each action is done separately. The camera also is a rather annoying part of the game as most cameras in action games are"
7,23,epistemic, may,1,46.8989,4.6564,4.6564,1.3448,"ation of d-amphetamine-induced disruption of conditional discrimination performance by alpha-flupenthixol MetadataShow full item record Rationale Previous evidence suggests that manipulation of forebrain dopamine (DA) systems⟦ may⟧ impair the use of conditional information to inform goal-directed performance, and this may be related to impairments in the ability to use task-setting cues in schizophrenia. Objective To investigate, using the indirect DA agon"
8,23,epistemic, may,1,51.3529,6.9410,6.9410,1.9428,"enthixol MetadataShow full item record Rationale Previous evidence suggests that manipulation of forebrain dopamine (DA) systems may impair the use of conditional information to inform goal-directed performance, and this⟦ may⟧ be related to impairments in the ability to use task-setting cues in schizophrenia. Objective To investigate, using the indirect DA agonist d-amphetamine and the D1/D2 receptor antagonist α-flup"
9,29,epistemic, may,1,53.7804,-2.1744,-2.1744,-0.8809," of helping Karen Lee transition from this life to the next. And I thank you all for being so supportive of me during this time. Karen Lee was 55 years old when she died. As you⟦ may⟧ know, for the last ten years of her challenging life, Karen Lee was homeless. However because of your care, Karen Lee lived the last 24 days of her life free of pain and indoors. "
10,29,optative,May,1,32.2291,-14.8954,6.7232,-5.7304,"Do you love me as much as I love you?” Witnessing your many kindnesses and genuine compassion, I can answer her question, Yes, you each loved her as much as she loved you. ⟦May⟧ God bless you for your compassionate service for people in need. It is an age old question: What is the significance of life if all we do is die in the end? Is there a deeper meaning"
11,41,month, May,1,34.9153,26.1275,23.8052,4.2616,"On Wednesday,⟦ May⟧ 10, GABA – the German American Business Association – organise an event on how additive manufacturing and smart manufacturing are revolutionising the world. 3D Printing – or Additive Manufacturing – and Smart Manufacturing"
12,41,epistemic, may,1,50.1856,2.6288,2.6288,-0.8419," products, generating new revenue streams. Additive Manufacturing is also upending conventional wisdom on the supply side. Rather than mass produce, store and ship a tangible product, ‘manufacturers’ of the future⟦ may⟧ develop designs, technology, and knowhow that enable their customers to make customized products onsite, in real time, as needed. DWF Law is main sponsor of this 3D printing event that will"
13,43,epistemic, may,1,55.9770,4.3776,4.3776,2.6987," 8 p.m.) Steve Summerhill at Jethro’s, Altoona (starts 7 p.m.) Born & the Beanstalk at Belmar Hotel, Altoona (More shows⟦ may⟧ be added to this list as information becomes available. Feel free to check back.) To report additional shows or corrections to this listing, email information to email@example.com. NailDriver, performing during the"
14,47,epistemic, may,1,44.8362,14.9067,14.9067,3.3207,", was a lot of hype and dashed expectations for some. Fast forward five years, and the future foreshadowed by SOA is almost a reality. And while SOA (the acronym)⟦ may⟧ be dead, the need for a service-oriented architecture is very much alive. We now live in a hybrid world, populated by cloud, social and on-premise applications, and the move to the cloud"
15,48,epistemic, may,1,33.3527,14.9651,14.9651,3.6012,". The idea for Stickbulb came from a bunch of wasted sticks that were lying in the corner of a woodshop. And that moment of inception is sort of that DNA of taking something which otherwise⟦ may⟧ not be used or go in the trash, or returned, is sort of fundamental to the process here. It’s wood that isn’t being harvested today. So it’s the kind of wood that you"
16,49,epistemic, may,1,40.0575,6.6463,6.6463,1.2825," to be a greeter at Walmart. That mindset explains why so many blue-collar craftsmen, sometimes making six-figure incomes, have trouble finding young people who want to become apprentices. But Sandel⟦ may⟧ have spent too much time among Harvard students and too little time around young people who don’t aspire to a law partnership or a job at Goldman Sachs. Many of them have found something they enjoy doing and"
17,49,epistemic, may,1,48.6481,14.3886,14.3886,3.3981," to 29 who think college is very important (down 33% from 2013 to 2019) suggests that young people with I.Q.s that are closer to 130 than 90⟦ may⟧ also be taking a closer look at options that don’t put them behind a desk or in front of a computer screen. Regarding the hubris of the elites, I agree with Sandel if he is"
18,56,epistemic, may,1,56.2855,13.1664,13.1664,3.8276," rationalise market rates and give a boost to the slunbering real estate market,"" he added. However, Surender Yadav, managing director of Pivotal developers, said that the farmers⟦ may⟧ not be happy with the move as they get compensation for their agricultural land on the basis of circle rates. Real estate consultants are also upbeat about the cut in circle rates. City-based consultant Sarvesh"
19,56,epistemic, may,1,53.1013,5.4745,5.4745,0.6438," inventories."" Director of UdayHomz, Gaurav Yadav, another real estate consultant, said the decrease in circle rate will primarily help investors in the secondary market to exit easily and in turn⟦ may⟧ encourage them to make more investment in primary market. For buyers also, it is a good move as now they will have to pay less stamp duty. Mohan Singh Tada, who is looking for"
20,63,deontic, may,1,53.4155,11.3313,11.3313,3.9566," recommend this movie for the individuals who interested the genre Comedy, Crime, Drama, Thriller, War, . It is possible you can watch it for free of charge by simply clicking submit and register, you⟦ may⟧ have the option to watch scores of latest movie titles at no cost. Screenplay : Gregor Jordan, Screenplay : Nora Maccoby, Director : Gregor Jordan, Executive Producer : James Sch"
21,64,epistemic, may,1,56.7142,8.3574,8.3574,0.6209," cases for the handset in black and white. Latest Geeky Gadgets Deals Disclosure: Some of our articles include affiliate links. If you buy something through one of these links, Geeky Gadgets⟦ may⟧ earn an affiliate commission. Learn more."
22,65,epistemic, may,1,49.7350,6.3154,6.3154,1.3158," Nov. 18. Corriveau, originally from Lawrence, Mass., enlisted in the Marines in March 1965 and served several tours in Vietnam. The state police are looking for information from anyone who⟦ may⟧ have served with Corriveau, as well as anyone who may have been staff or patients at the Philadelphia Naval Hospital in October and November in 1968. Those with information are asked to contact the state"
23,65,epistemic, may,1,50.0679,6.5252,6.5252,1.4117," Mass., enlisted in the Marines in March 1965 and served several tours in Vietnam. The state police are looking for information from anyone who may have served with Corriveau, as well as anyone who⟦ may⟧ have been staff or patients at the Philadelphia Naval Hospital in October and November in 1968. Those with information are asked to contact the state police at 610-268-5158 or email RA"
24,65,epistemic, may,1,55.9432,-4.4499,-4.4499,-0.3257,serious crime or wanted person” can call the Pennsylvania Crime Stoppers at 1-800-4PA-TIPS or visit the website at www.PACrimeStoppers.org A reward⟦ may⟧ be available for tips made.
25,70,deontic, may,1,57.4866,3.1405,3.1405,2.0914,Before & After School Care We operate an ‘Early Morning’ group to help parents. Children⟦ may⟧ join the group from 8 a.m. ‘Late Class’ operates from 4.00 p.m. – 6.30p.m. Children are fully supervised and a small charge is made
26,74,epistemic, may,1,50.6404,6.4730,6.4730,-0.6648," BEAVER ISLAND MUSEUM are worn and wide, and in the low light of an evening they're the gray of pencil lead. The boards might date from the days of Strang, or they⟦ may⟧ have been laid when the place became a hotel decades later. But Bill Cashman, the museum's curator, likes to picture Strang pacing these planks in what was once his print shop. He"
27,75,epistemic, may,1,54.7721,12.5757,12.5757,3.7295," IMPORTANT CLAUSES Licensing of the trademark is usually a time-bound agreement, the Trademarks Act, 1999, under section 49 provides the procedure for licensing a trademark, this agreement⟦ may⟧ be either for all of the goods or services or a part of them. There is no specific term for license agreement mentioned under the statute and it may vary from contract to contract. In case of sale"
28,75,epistemic, may,1,52.8538,5.2082,5.2082,1.5441," of that term when a question as to its interpretation arises. Grant Clause- this clause deals with the rights that are being transferred and their scope and extent in the agreement, along with the rights this clause⟦ may⟧ also lay down certain restrictions on these rights. IPR Clause- this is one of the most important clauses of the agreement, which clearly states that the ownership rests with the licensor in case of such"
29,75,epistemic, may,1,57.7667,12.2770,12.2770,4.6162," agreement is terminated before the said term without falling under the mentioned conditions. Apart from these, there are few other clauses like severability clause, force majeure clause, obligations of the parties, etc. which⟦ may⟧ also be found in a trademark license agreement. If the Registrar is satisfied with the content of the agreement he may publish relevant information related to it within two months in the Trademark Journal to invite objection on the"
30,82,deontic, may,1,51.1426,8.0254,8.0254,2.6609," to challenge their skills against eachother, or monsters, they can fight in the arena. Their will always be some sort of prize for winning an arena competition. In an arena fight, no explosive items⟦ may⟧ be used. In some fights, wages can be placed. In such fights, any money bet towards the winner will be matched by the castle, and the castle will keep the money of those who lose"
31,83,epistemic, may,1,20.6508,4.5245,4.5245,1.3431," types you might find. Standard computer desk Standard tables are typically 29-31 inches tall, was built for people of average height. Most will have a sliding keyboard shelf, and some may or⟦ may⟧ not have storage drawers. When selecting a standard table, keep in mind any extra features that you may want to include in the future. Executive computer desk for home Executive table is more complicated in detail"
32,83,epistemic, may,1,47.4592,7.9350,7.9350,1.2616," was built for people of average height. Most will have a sliding keyboard shelf, and some may or may not have storage drawers. When selecting a standard table, keep in mind any extra features that you⟦ may⟧ want to include in the future. Executive computer desk for home Executive table is more complicated in detail and has spacious table tops when compared to standard tables. However, similar to a standard table, an"
33,83,epistemic, may,1,58.3409,6.6440,6.6440,2.7264," the long run. Another option you might want to consider is a computer cart. Smaller computer carts trolley to Add mobility. Carts ideal for those looking to save space in their home or office, and⟦ may⟧ need to move the workstation from time to time. Finally, consider an ergonomic office chair for your workstation or computer desk. Ergonomic office chairs can reduce the strain on your back, which goes a long"
34,84,month,May,1,36.1116,-10.9581,12.7883,-4.9920," he really wants to get her into that porno theater."" (Schrader, p. 44) BETSY: Taking me to a place like this is about A reviewer from the Canadian Forum (⟦May⟧ 1976) made an interesting point: ""The clippings, however, are cold type phonies without the typographical stamp of N.Y. It's hell. http://technologies88.com/t"
35,86,epistemic, may,1,45.7656,7.7299,7.7299,1.0019," Tuesday. The U.S.-led coalition concurred: “The casualties occurred during a security operation when their unit came into contact with enemy forces. Tragically, there is the possibility that fratricide⟦ may⟧ have been involved,” it said last week. In addition to McDonald, also killed were Army Staff Sgt. Scott R. Studenmund, 24, of Pasadena, Calif.; Cpl."
