side,rank,token_id,token,token_string,cosine,unembedding_norm,dot_product
positive,1,6294,").
",).Ċ,0.11929251253604889,0.25086310505867004,0.02992616593837738
positive,2,153558,...).,...).,0.11730700731277466,0.33197858929634094,0.038943514227867126
positive,3,100931,":"",
",":"",Ċ",0.117121122777462,0.30367305874824524,0.03556662052869797
positive,4,50213,"..."");
","..."");Ċ",0.11629718542098999,0.2909037470817566,0.03383137658238411
positive,5,161369," ).
",Ġ).Ċ,0.11610329896211624,0.2860054671764374,0.033206261694431305
positive,6,21444,"."",
","."",Ċ",0.11600660532712936,0.25960737466812134,0.0301162451505661
positive,7,1883,"):
",):Ċ,0.11439147591590881,0.2498292177915573,0.02857840433716774
positive,8,147243,"。"",
","ãĢĤ"",Ċ",0.11435192078351974,0.2665293514728546,0.0304782222956419
positive,9,13407,"."");
","."");Ċ",0.11366438865661621,0.25731098651885986,0.029247166588902473
positive,10,179123,"？」
",ï¼ŁãĢįĊ,0.11186492443084717,0.26706305146217346,0.02987506426870823
positive,11,45726,":"");
",":"");Ċ",0.11073921620845795,0.27143317461013794,0.030058370903134346
positive,12,167554,"..."",
","..."",Ċ",0.1103014424443245,0.31147313117980957,0.03435602784156799
positive,13,112755,").""",").""",0.11025166511535645,0.3094234764575958,0.0341145396232605
positive,14,48169," ):
",Ġ):Ċ,0.11002790927886963,0.28910884261131287,0.03181012347340584
positive,15,78045,"..."")
","..."")Ċ",0.1097014844417572,0.27692434191703796,0.030379096046090126
positive,16,2313,"),
","),Ċ",0.10916511714458466,0.2560563087463379,0.027952492237091064
positive,17,14396,".""
",".""Ċ",0.10692385584115982,0.2654048204421997,0.028378184884786606
positive,18,63347,"...""
","...""Ċ",0.10581694543361664,0.3061756193637848,0.03239865601062775
positive,19,147100," ...""
","Ġ...""Ċ",0.10548167675733566,0.3397686779499054,0.035839468240737915
positive,20,185294," !"");
","Ġ!"");Ċ",0.10413344204425812,0.3112871050834656,0.032415471971035004
positive,21,27834,"."")
","."")Ċ",0.10398024320602417,0.25554120540618896,0.026571309193968773
positive,22,49887,"].
",].Ċ,0.10374733805656433,0.26897820830345154,0.027905844151973724
positive,23,80684,":"")
",":"")Ċ",0.10358800739049911,0.2611922025680542,0.02705644816160202
positive,24,81192,?).,?).,0.10357876867055893,0.29421180486679077,0.030474184080958366
positive,25,195880,"。」
",ãĢĤãĢįĊ,0.10331330448389053,0.2375425547361374,0.024541372433304787
positive,26,33277,"."";
","."";Ċ",0.10238560289144516,0.28016963601112366,0.028685417026281357
positive,27,146879,".""),
",".""),Ċ",0.10235448181629181,0.2800319790840149,0.028662603348493576
positive,28,168844,".""]
",".""]Ċ",0.10166137665510178,0.2861664891242981,0.029092151671648026
positive,29,153392,…).,âĢ¦).,0.1015692874789238,0.3296303153038025,0.03348040208220482
positive,30,72401,"]"");
","]"");Ċ",0.10145729035139084,0.27357473969459534,0.0277562215924263
positive,31,132549,"."")]
","."")]Ċ",0.10139546543359756,0.2754001319408417,0.027924392372369766
positive,32,120144,"！”
",ï¼ģâĢĿĊ,0.10120553523302078,0.264438271522522,0.02676268480718136
positive,33,172312,"...),","...),",0.10114465653896332,0.32818305492401123,0.03319405019283295
positive,34,199214,.):,.):,0.10098455846309662,0.31252843141555786,0.031560637056827545
positive,35,82715,)。,)ãĢĤ,0.1007486954331398,0.2676955759525299,0.026970043778419495
