side,rank,token_id,token,token_string,dot_product,cosine,unembedding_norm
positive,1,153558,...).,...).,0.038943514227867126,0.11730700731277466,0.33197858929634094
positive,2,147100," ...""
","Ġ...""Ċ",0.035839468240737915,0.10548167675733566,0.3397686779499054
positive,3,100931,":"",
",":"",Ċ",0.03556662052869797,0.117121122777462,0.30367305874824524
positive,4,167554,"..."",
","..."",Ċ",0.03435602784156799,0.1103014424443245,0.31147313117980957
positive,5,112755,").""",").""",0.0341145396232605,0.11025166511535645,0.3094234764575958
positive,6,50213,"..."");
","..."");Ċ",0.03383137658238411,0.11629718542098999,0.2909037470817566
positive,7,153392,…).,âĢ¦).,0.03348040208220482,0.1015692874789238,0.3296303153038025
positive,8,161369," ).
",Ġ).Ċ,0.033206261694431305,0.11610329896211624,0.2860054671764374
positive,9,172312,"...),","...),",0.03319405019283295,0.10114465653896332,0.32818305492401123
positive,10,141200,).',).',0.0327792651951313,0.09883252531290054,0.33166393637657166
positive,11,185294," !"");
","Ġ!"");Ċ",0.032415471971035004,0.10413344204425812,0.3112871050834656
positive,12,63347,"...""
","...""Ċ",0.03239865601062775,0.10581694543361664,0.3061756193637848
positive,13,48169," ):
",Ġ):Ċ,0.03181012347340584,0.11002790927886963,0.28910884261131287
positive,14,173754,"..."";
","..."";Ċ",0.031662262976169586,0.09668892621994019,0.3274643123149872
positive,15,199214,.):,.):,0.031560637056827545,0.10098455846309662,0.31252843141555786
positive,16,132905," ...)
",Ġ...)Ċ,0.03142852336168289,0.0990227535367012,0.31738603115081787
positive,17,130775,?):,?):,0.03090343065559864,0.09496621787548065,0.32541415095329285
positive,18,93754,"?"");
","?"");Ċ",0.0306929312646389,0.09850481897592545,0.31158730387687683
positive,19,66563,"...)
",...)Ċ,0.030509930104017258,0.09521173685789108,0.3204420804977417
positive,20,147243,"。"",
","ãĢĤ"",Ċ",0.0304782222956419,0.11435192078351974,0.2665293514728546
positive,21,81192,?).,?).,0.030474184080958366,0.10357876867055893,0.29421180486679077
positive,22,78045,"..."")
","..."")Ċ",0.030379096046090126,0.1097014844417572,0.27692434191703796
positive,23,21444,"."",
","."",Ċ",0.0301162451505661,0.11600660532712936,0.25960737466812134
positive,24,45726,":"");
",":"");Ċ",0.030058370903134346,0.11073921620845795,0.27143317461013794
positive,25,6294,").
",).Ċ,0.02992616593837738,0.11929251253604889,0.25086310505867004
positive,26,179123,"？」
",ï¼ŁãĢįĊ,0.02987506426870823,0.11186492443084717,0.26706305146217346
positive,27,196584," ?"");
","Ġ?"");Ċ",0.029815534129738808,0.09478966146707535,0.31454330682754517
positive,28,171230,"…),","âĢ¦),",0.029708022251725197,0.09244120121002197,0.32137131690979004
positive,29,13407,"."");
","."");Ċ",0.029247166588902473,0.11366438865661621,0.25731098651885986
positive,30,168844,".""]
",".""]Ċ",0.029092151671648026,0.10166137665510178,0.2861664891242981
positive,31,87467,)：,)ï¼ļ,0.028933526948094368,0.09989161044359207,0.2896484434604645
positive,32,77772,"?"",
","?"",Ċ",0.02892797812819481,0.09839479625225067,0.29399827122688293
positive,33,33657, ):,Ġ):,0.028752194717526436,0.09547348320484161,0.3011529743671417
positive,34,33277,"."";
","."";Ċ",0.028685417026281357,0.10238560289144516,0.28016963601112366
positive,35,146879,".""),
",".""),Ċ",0.028662603348493576,0.10235448181629181,0.2800319790840149
positive,36,1883,"):
",):Ċ,0.02857840433716774,0.11439147591590881,0.2498292177915573
positive,37,14396,".""
",".""Ċ",0.028378184884786606,0.10692385584115982,0.2654048204421997
positive,38,137352, centroid,Ġcentroid,0.028290167450904846,0.08709297329187393,0.32482635974884033
positive,39,63062,"?""
","?""Ċ",0.02824755385518074,0.09396006911993027,0.3006328046321869
