event_id,run_id,environment,condition,objective_status,event_type,layer,sv_rank,delta_contrast,delta_n_controls,anchor_contrast,anchor_n_controls,peak_response_contrast,peak_response_n_controls,trough_response_contrast,trough_response_n_controls
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,1,0.8244608044624329,5,0.27685093879699707,5,-0.02962315082550049,5,-0.2384684681892395,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,2,0.9244622588157654,5,0.1138225793838501,5,0.6839959621429443,5,0.7854397296905518,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,3,0.17737779021263123,5,-0.07339012622833252,5,-0.3281177282333374,5,0.5821518898010254,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,4,-0.9756751656532288,5,0.01550436019897461,5,0.7607779502868652,5,0.26891636848449707,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,5,0.5855687856674194,5,-0.0994686484336853,5,-0.2186260223388672,5,-0.4258423447608948,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,6,1.125986099243164,5,-0.33914613723754883,5,-0.4211282730102539,5,0.47664737701416016,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,7,0.05586078763008118,5,0.06486999988555908,5,0.2633267641067505,5,-0.13354122638702393,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,8,-0.544677197933197,5,-0.3959152102470398,5,0.6277620792388916,5,0.6876267790794373,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,9,-0.717179536819458,5,-0.13428181409835815,5,0.5669078826904297,5,1.532366394996643,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,10,0.43674618005752563,5,-0.32805120944976807,5,-0.6976227760314941,5,1.1996166706085205,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,11,-0.36169224977493286,5,0.18942475318908691,5,0.014085054397583008,5,-0.9803239107131958,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,12,0.30841320753097534,5,-0.06364947557449341,5,-0.8954789638519287,5,-1.119168758392334,5
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,13,0.44426047801971436,5,-0.1576070785522461,5,-2.6488358974456787,5,0.09812378883361816,5
